Age,Height
15.5,170
17.8,168
16.5,167
7.8,134
5.5,114
10.9,160
5.2,107
11.2,164
17.4,158
8.2,135
10,146
10.6,146
15.8,169
15.7,167
10.9,159
9.9,148
17,170
14.6,166
14.6,172
17.3,171
11.6,160
15.3,170
10.9,154
16,170
10.1,146
14.6,173
17.7,161
11.8,154
10.6,156
7.7,135
9.2,148
6.4,118
9.9,151
9.3,143
9.4,143
15.6,170
11.9,169
11.8,154
15.1,168
6.6,119
13.1,163
9.5,141
9.4,148
12.5,173
16.2,167
7.6,132
13.7,172
16.7,168
7.6,130
8.9,138
11.5,161
16.6,163
11.5,158
8.6,135
11.9,161
12.5,165
10.4,157
5.2,108
14.1,162
11.6,161
10,147
5.8,113
9.7,147
8,138
7.6,124
15.6,164
10.1,142
5.7,116
9.9,147
15.1,169
7.1,122
16.9,166
9.1,140
9.3,148
7.7,132
15,163
5.9,115
17.4,161
7.1,132
8.7,135
13.9,159
6.8,122
11.7,164
14.4,168
17.1,168
14.5,157
14.7,163
10.3,156
8.1,131
11.8,163
7.8,128
16,159
13.6,163
15.6,170
15.3,173
11.1,162
9,134
13.9,162
17.8,161
15,162
